date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-20,WSH@NY,Rebekah Gardner,starters,OVER,2.0,3.3,4.0,1.3,HIT
2026-06-20,WSH@NY,Sabrina Ionescu,bench,OVER,2.0,3.3,5.0,1.3,HIT
2026-06-20,WSH@NY,Marine Johannes,bench,OVER,2.0,3.3,8.0,1.3,HIT
2026-06-20,WSH@NY,Jonquel Jones,bench,OVER,2.0,3.3,20.0,1.3,HIT
2026-06-20,WSH@NY,Satou Sabally,bench,OVER,2.0,3.3,7.0,1.3,HIT
2026-06-20,WSH@NY,Breanna Stewart,bench,OVER,2.0,3.3,14.0,1.3,HIT
2026-06-20,WSH@NY,Han Xu,bench,OVER,2.0,3.3,6.0,1.3,HIT
2026-06-16,LV@DAL,A'ja Wilson,starters,OVER,9.0,10.7,18.0,1.7,HIT
2026-06-16,LV@DAL,Jewell Loyd,starters,OVER,8.0,9.1,21.0,1.1,HIT
2026-06-16,LV@DAL,Jackie Young,starters,OVER,7.0,8.5,6.0,1.5,MISS
2026-06-16,LV@DAL,Chelsea Gray,starters,OVER,6.0,7.9,0.0,1.9,MISS
2026-06-16,LV@DAL,NaLyssa Smith,starters,OVER,6.0,7.7,9.0,1.7,HIT
2026-06-16,LV@DAL,Brianna Turner,bench,OVER,4.0,5.5,2.0,1.5,MISS
2026-06-16,LV@DAL,Cheyenne Parker-Tyus,bench,OVER,6.0,7.0,4.0,1.0,MISS
2026-06-16,LV@DAL,Stephanie Talbot,bench,OVER,4.0,5.6,4.0,1.6,MISS
2026-06-16,LV@DAL,Kierstan Bell,bench,OVER,4.0,5.3,2.0,1.3,MISS
2026-06-16,LV@DAL,Arike Ogunbowale,starters,OVER,8.0,10.1,22.0,2.1,HIT
2026-06-16,LV@DAL,Paige Bueckers,starters,OVER,8.0,10.1,10.0,2.1,HIT
2026-06-16,LV@DAL,Azzi Fudd,starters,OVER,7.0,8.0,19.0,1.0,HIT
2026-06-16,LV@DAL,Jessica Shepard,starters,OVER,5.0,6.6,15.0,1.6,HIT
